"GOOG","Google Inc.",306.5B,919.608,27.52
"FB","Facebook, Inc.",64.050B,26.32,572.17
"AAPL","Apple Inc.",405.1B,430.195,10.27
"YHOO","Yahoo! Inc.",30.985B,26.88,7.80
"MSFT","Microsoft Corpora",301.3B,36.27,18.72
"LNKD","LinkedIn Corporat",21.800B,193.65,750.58
"CRM","Salesforce.com In",24.827B,41.84,N/A
